handle,title,description,categories,crosspromotecategory,istaxable,isactive,isfeatured,shippingmethod,shippingfee,shippingfeeadditional,handlingfee,handlingfeeadditional,shippingfee_int,shippingfeeadditional_int,handlingfee_int,handlingfeeadditional_int,shippingfee_custom,shippingfeeadditional_custom,handlingfee_custom,handlingfeeadditional_custom,optionname1,optionname2,optionname3,optionname4,optionname5,optionvalue1,optionvalue2,optionvalue3,optionvalue4,optionvalue5,variantid,variant_name,weight,price,saleprice,sku,trackinventory,allowpurchase,stocklevel,seo_pagetitle,seo_keywords,seo_description,images
arlington-pumpkinblack,Arlington - Ecru/Black,<p>	                                  100% Cotton - Reversible</p><p>	                                            Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954980,Fabric By Yard,2.00,45.00,,2059Y,false,false,10000,,,,"http://cdn.highwire.com/6686806-dscf3134.jpg, http://cdn.highwire.com/6686806-dscf3135.jpg"
arlington-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954979,Grade B w/ Furniture,0.00,0.00,,2059,false,false,10000,,,,
monarch-ecrured,Arlington - Pumpkin/Black,<p>	                                 100% Cotton - Reversible</p><p>	                                           Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954875,Fabric By Yard,2.00,45.00,,2060Y,false,false,10000,,,,"http://cdn.highwire.com/6686703-dscf3132.jpg, http://cdn.highwire.com/6686703-dscf3133.jpg"
monarch-ecrured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954874,Grade B w/ Furniture,0.00,0.00,,2060,false,false,10000,,,,
monarch-pumpkinblack,Monarch - Ecru/Red,<p>	                                  100% Cotton - Reversible</p><p>	                                            Grade B</p>,"303137,",false,true,false,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954719,Fabric By Yard,2.00,45.00,,2058Y,false,false,10000,,,,
monarch-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954718,Grade B w/ Furniture,0.00,0.00,,2058,false,false,10000,,,,
tripoli-ecrured,Monarch - Pumpkin/Black,<p>	                               100% Cotton - Reversible</p><p>	                                         Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954657,Fabric By Yard,2.00,45.00,,2052Y,false,false,10000,,,,"http://cdn.highwire.com/6686519-dscf3112.jpg, http://cdn.highwire.com/6686519-dscf3113.jpg"
tripoli-ecrured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954656,Grade B w/ Furniture,0.00,0.00,,2052,false,false,10000,,,,
tripoli-pumpkinblack,Tripoli - Ecru/Red,<p>	                              100% Cotton - Reversible</p><p>	                                        Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954603,Fabric By Yard,2.00,45.00,,2056Y,false,false,10000,,,,"http://cdn.highwire.com/6686468-dscf3120.jpg, http://cdn.highwire.com/6686468-dscf3121.jpg"
tripoli-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954602,Grade B w/ Furniture,0.00,0.00,,2056,false,false,10000,,,,
diamonds-linenblack,Tripoli - Pumpkin/Black,<p>	                             100% Cotton - Reversible</p><p>	                                       Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954470,Fabric By Yard,2.00,45.00,,2053Y,false,false,10000,,,,"http://cdn.highwire.com/6686397-dscf3114.jpg, http://cdn.highwire.com/6686397-dscf3115.jpg"
diamonds-linenblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954469,Grade B w/ Furniture,0.00,0.00,,2053,false,false,10000,,,,
1806-coverlet-blackpumpkin-1,1806 Tapestry - Ecru/Black,<p>	                           100% Cotton</p><p>	                                     Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954104,Fabric By Yard,2.00,45.00,,2030Y,false,false,10000,,,,http://cdn.highwire.com/6686165-dscf3095.jpg
1806-coverlet-blackpumpkin-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954103,Grade B w/ Furniture,0.00,0.00,,2030,false,false,10000,,,,
1806-coverlet-blackpumpkin,Antique Chenile - Otto,"<p>	   39% Polyester, 31% Cotton, 30% Rayon</p><p>	                                      Grade B</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954088,Fabric By Yard,2.00,45.00,,2035Y,false,false,10000,,,,http://cdn.highwire.com/6686151-dscf3096.jpg
1806-coverlet-blackpumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954087,Grade B w/ Furniture,0.00,0.00,,2035,false,false,10000,,,,
diamonds-pumpkinblack,Diamonds - Linen/Black,<p>	                           100% Cotton - Reversible</p><p>	                                     Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954052,Fabric By Yard,2.00,45.00,,2038Y,false,false,10000,,,,"http://cdn.highwire.com/6686116-dscf3099.jpg, http://cdn.highwire.com/6686116-dscf3100.jpg"
diamonds-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954051,Grade B w/ Furniture,0.00,0.00,,2038,false,false,10000,,,,
coverlet-ecrublack-1,Diamonds - Pumpkin/Black,<p>	                          100% Cotton - Reversible</p><p>	                                    Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954021,Fabric By Yard,2.00,45.00,,2037Y,false,false,10000,,,,"http://cdn.highwire.com/6686098-dscf3097.jpg, http://cdn.highwire.com/6686098-dscf3098.jpg"
coverlet-ecrublack-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954020,Grade B w/ Furniture,0.00,0.00,,2037,false,false,10000,,,,
coverlet-ecrublack,Plain Weave - Linen,"<p>	                          60% Cotton, 15% Acrylic, 25% Polyester</p><p>	                                    Grade B</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11954007,Fabric By Yard,2.00,45.00,,2040Y,false,false,10000,,,,http://cdn.highwire.com/6686088-dscf3101.jpg
coverlet-ecrublack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11954006,Grade B w/ Furniture,0.00,0.00,,2040,false,false,10000,,,,
whig-rose-oatmeal-1,Coverlet - Ecru/Black,<p>	                         100% Cotton - Reversible</p><p>	                                   Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11953973,Fabric By Yard,2.00,45.00,,2044Y,false,false,10000,,,,"http://cdn.highwire.com/6686069-dscf3102.jpg, http://cdn.highwire.com/6686069-dscf3103.jpg"
whig-rose-oatmeal-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11953972,Grade B w/ Furniture,0.00,0.00,,2044,false,false,10000,,,,
1806-coverlet-ecrublue,1806 Tapestry - Black/Pumpkin,<p>	                           100% Cotton</p><p>	                                     Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11953861,Fabric By Yard,2.00,45.00,,2055Y,false,false,10000,,,,http://cdn.highwire.com/6685962-dscf3116.jpg
1806-coverlet-ecrublue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11953860,Grade B w/ Furniture,0.00,0.00,,2055,false,false,10000,,,,
whig-rose-oatmeal,1806 Tapestry - Ecru/Blue,<p>	                           100% Cotton</p><p>	                                     Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11953836,Fabric By Yard,2.00,45.00,,2054Y,false,false,10000,,,,"http://cdn.highwire.com/6685947-dscf3119.jpg, http://cdn.highwire.com/6685947-dscf3119.jpg"
whig-rose-oatmeal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11953835,Grade B w/ Furniture,0.00,0.00,,2054,false,false,10000,,,,
stencil-ecrured,Whig Rose - Oatmeal,<p>	                        100% Cotton - Reversible</p><p>	                                  Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927927,Fabric By Yard,2.00,45.00,,2064Y,false,false,10000,,,,"http://cdn.highwire.com/6666167-dscf3125.jpg, http://cdn.highwire.com/6666167-dscf3126.jpg"
stencil-ecrured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927926,Grade B w/ Furniture,0.00,0.00,,2064,false,false,10000,,,,
stencil-linenblack,Stencil - Ecru/Red,<p>	                       100% Cotton - Reversible</p><p>	                                 Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927907,Fabric By Yard,2.00,45.00,,2061Y,false,false,10000,,,,"http://cdn.highwire.com/6666156-dscf3130.jpg, http://cdn.highwire.com/6666156-dscf3131.jpg"
stencil-linenblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927906,Grade B w/ Furniture,0.00,0.00,,2061,false,false,10000,,,,
stencil-pumpkinblack,Stencil - Linen/Black,<p>	                      100% Cotton - Reversible</p><p>	                                Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927904,Fabric By Yard,2.00,45.00,,2062Y,false,false,10000,,,,"http://cdn.highwire.com/6666154-dscf3127.jpg, http://cdn.highwire.com/6666154-dscf3129.jpg"
stencil-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927903,Grade B w/ Furniture,0.00,0.00,,2062,false,false,10000,,,,
whig-rose-ecrured,Stencil - Pumpkin/Black,<p>	                     100% Cotton - Reversible</p><p>	                               Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927897,Fabric By Yard,2.00,45.00,,2029Y,false,false,10000,,,,"http://cdn.highwire.com/6666148-dscf3093.jpg, http://cdn.highwire.com/6666148-dscf3094.jpg"
whig-rose-ecrured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927896,Grade B w/ Furniture,0.00,0.00,,2029,false,false,10000,,,,
whig-rose-ecrunavy,Whig Rose - Ecru/Red,<p>	                    100% Cotton - Reversible</p><p>	                              Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927881,Fabric By Yard,2.00,45.00,,2028Y,false,false,10000,,,,"http://cdn.highwire.com/6666136-dscf3091.jpg, http://cdn.highwire.com/6666136-dscf3092.jpg"
whig-rose-ecrunavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927880,Grade B w/ Furniture,0.00,0.00,,2028,false,false,10000,,,,
lovers-knot-ecrunavy,Whig Rose - Ecru/Navy,<p>	                   100% Cotton - Reversible</p><p>	                             Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927872,Fabric By Yard,2.00,45.00,,2027Y,false,false,10000,,,,"http://cdn.highwire.com/6666130-dscf3089.jpg, http://cdn.highwire.com/6666130-dscf3090.jpg"
lovers-knot-ecrunavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927871,Grade B w/ Furniture,0.00,0.00,,2027,false,false,10000,,,,
lovers-knot-ecrured,Lovers Knot - Ecru/Navy,<p>	                  100% Cotton - Reversible</p><p>	                            Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927864,Fabric By Yard,2.00,45.00,,2026Y,false,false,10000,,,,"http://cdn.highwire.com/6666123-dscf3087.jpg, http://cdn.highwire.com/6666123-dscf3088.jpg"
lovers-knot-ecrured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927863,Grade B w/ Furniture,0.00,0.00,,2026,false,false,10000,,,,
lovers-knot-pumpkinblack,Lovers Knot - Ecru/Red,<p>	                 100% Cotton - Reversible</p><p>	                           Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927845,Fabric By Yard,2.00,45.00,,2025Y,false,false,10000,,,,"http://cdn.highwire.com/6666106-dscf3085.jpg, http://cdn.highwire.com/6666106-dscf3086.jpg"
lovers-knot-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927844,Grade B w/ Furniture,0.00,0.00,,2025,false,false,10000,,,,
carson-ecrured,Lovers Knot - Pumpkin/Black,<p>	                100% Cotton - Reversible</p><p>	                          Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927830,Fabric By Yard,2.00,45.00,,2024Y,false,false,10000,,,,"http://cdn.highwire.com/6666092-dscf3083.jpg, http://cdn.highwire.com/6666092-dscf3084.jpg"
carson-ecrured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927829,Grade B w/ Furniture,0.00,0.00,,2024,false,false,10000,,,,
carson-ecrumustard,Carson - Ecru/Red,<p>	               100% Cotton - Reversible</p><p>	                         Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927823,Fabric By Yard,2.00,45.00,,2023Y,false,false,10000,,,,"http://cdn.highwire.com/6666086-dscf3080.jpg, http://cdn.highwire.com/6666086-dscf3082.jpg"
carson-ecrumustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927822,Grade B w/ Furniture,0.00,0.00,,2023,false,false,10000,,,,
trenton-coverlet-camel,Carson - Ecru/Mustard,<p>	              100% Cotton - Reversible</p><p>	                        Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927776,Fabric By Yard,2.00,45.00,,2012Y,false,false,10000,,,,"http://cdn.highwire.com/6666042-dscf3079.jpg, http://cdn.highwire.com/6666042-dscf3081.jpg"
trenton-coverlet-camel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927775,Grade B w/ Furniture,0.00,0.00,,2012,false,false,10000,,,,
trenton-coverlet-onyx,Trenton Coverlet - Camel,<p>	              100% Cotton</p><p>	                        Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927766,Fabric By Yard,2.00,45.00,,2068Y,false,false,10000,,,,http://cdn.highwire.com/6666033-dscf3139.jpg
trenton-coverlet-onyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927765,Grade B w/ Furniture,0.00,0.00,,2068,false,false,10000,,,,
tiny-petals-ecrunavy,Trenton Coverlet - Onyx,<p>	             100% Cotton</p><p>	                       Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927736,Fabric By Yard,2.00,45.00,,2007Y,false,false,10000,,,,http://cdn.highwire.com/6666022-dscf3076.jpg
tiny-petals-ecrunavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927735,Grade B w/ Furniture,0.00,0.00,,2007,false,false,10000,,,,
tiny-petals-mustardecru,Tiny Petals - Ecru/Navy,<p>	           100% Cotton - Reversible</p><p>	                     Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927731,Fabric By Yard,2.00,45.00,,2022Y,false,false,10000,,,,"http://cdn.highwire.com/6666019-dscf3073.jpg, http://cdn.highwire.com/6666019-dscf3074.jpg"
tiny-petals-mustardecru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927730,Grade B w/ Furniture,0.00,0.00,,2022,false,false,10000,,,,
tiny-petals-ecrublack,Tiny Petals - Mustard/Ecru,<p>	          100% Cotton - Reversible</p><p>	                    Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927684,Fabric By Yard,2.00,45.00,,2006Y,false,false,10000,,,,"http://cdn.highwire.com/6665975-dscf3071.jpg, http://cdn.highwire.com/6665975-dscf3072.jpg"
tiny-petals-ecrublack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927683,Grade B w/ Furniture,0.00,0.00,,2006,false,false,10000,,,,
tiny-petals-pumpkinblack,Tiny Petals - Ecru/Black,<p>	         100% Cotton - Reversible</p><p>	                   Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927659,Fabric By Yard,2.00,45.00,,2005Y,false,false,10000,,,,"http://cdn.highwire.com/6665951-dscf3069.jpg, http://cdn.highwire.com/6665951-dscf3070.jpg"
tiny-petals-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927658,Grade B w/ Furniture,0.00,0.00,,2005,false,false,10000,,,,
pineapple-mustardecru,Tiny Petals - Pumpkin/Black,<p>	        100% Cotton - Reversible</p><p>	                  Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927520,Fabric By Yard,2.00,45.00,,2004Y,false,false,10000,,,,"http://cdn.highwire.com/6665826-dscf3067.jpg, http://cdn.highwire.com/6665826-dscf3068.jpg"
pineapple-mustardecru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927519,Grade B w/ Furniture,0.00,0.00,,2004,false,false,10000,,,,
pineapple-redecru,Pineapple - Mustard/Ecru,<p>	     100% Cotton - Reversible</p><p>	               Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927432,Fabric By Yard,2.00,45.00,,2003Y,false,false,10000,,,,"http://cdn.highwire.com/6665740-dscf3065.jpg, http://cdn.highwire.com/6665740-dscf3066.jpg"
pineapple-redecru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927431,Grade B w/ Furniture,0.00,0.00,,2003,false,false,10000,,,,
pineapple-blackpumpkin,Pineapple - Red/Ecru,<p>	     100% Cotton - Reversible</p><p>	               Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927377,Fabric By Yard,2.00,45.00,,2002Y,false,false,10000,,,,"http://cdn.highwire.com/6665685-dscf3063.jpg, http://cdn.highwire.com/6665685-dscf3064.jpg"
pineapple-blackpumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927376,Grade B w/ Furniture,0.00,0.00,,2002,false,false,10000,,,,
erin-pumpkinblack,Pineapple - Black/Pumpkin,<p>	   100% Cotton - Reversible</p><p>	             Grade B</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927303,Fabric By Yard,2.00,45.00,,2001Y,false,false,10000,,,,"http://cdn.highwire.com/6665612-dscf3061.jpg, http://cdn.highwire.com/6665612-dscf3062.jpg"
erin-pumpkinblack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927302,Grade B w/ Furniture,0.00,0.00,,2001,false,false,10000,,,,
birelli-sienna,Erin - Pumpkin/Black,<p>	  100% Cotton</p><p>	            Grade A</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927161,Fabric By Yard,2.00,34.00,,1022Y,false,false,10000,,,,http://cdn.highwire.com/6665503-dscf3059.jpg
birelli-sienna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927160,Grade A w/ Furniture,0.00,0.00,,1022,false,false,10000,,,,
birelli-havana,Birelli - Sienna,"<p>	           54% Polyester, 35% Olefin, 11% Acrylic</p><p>	           Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927108,Fabric By Yard,2.00,34.00,,1021Y,false,false,10000,,,,http://cdn.highwire.com/6665451-dscf3058.jpg
birelli-havana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927107,Grade A w/ Furniture,0.00,0.00,,1021,false,false,10000,,,,
birelli-steel,Birelli - Havana,"<p>	          54% Polyester, 35% Olefin, 11% Acrylic</p><p>	          Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11927048,Fabric By Yard,2.00,34.00,,1020Y,false,false,10000,,,,http://cdn.highwire.com/6665392-dscf3057.jpg
birelli-steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11927047,Grade A w/ Furniture,0.00,0.00,,1020,false,false,10000,,,,
birelli-ruby,Birelli - Steel,"<p>	         54% Polyester, 35% Olefin, 11% Acrylic</p><p>	         Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926961,Fabric By Yard,2.00,34.00,,1019Y,false,false,10000,,,,http://cdn.highwire.com/6665316-dscf3056.jpg
birelli-ruby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926960,Grade A w/ Furniture,0.00,0.00,,1019,false,false,10000,,,,
birelli-walnut,Birelli - Ruby,"<p>	         54% Polyester, 35% Olefin, 11% Acrylic</p><p>	         Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926914,Fabric By Yard,2.00,34.00,,1018Y,false,false,10000,,,,http://cdn.highwire.com/6665273-dscf3055.jpg
birelli-walnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926913,Grade A w/ Furniture,0.00,0.00,,1018,false,false,10000,,,,
presidio-bark,Birelli - Walnut,"<p>	       54% Polyester, 35% Olefin, 11% Acrylic</p><p>	       Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926832,Fabric By Yard,2.00,34.00,,1015Y,false,false,10000,,,,http://cdn.highwire.com/6665198-dscf3052.jpg
presidio-bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926831,Grade A w/ Furniture,0.00,0.00,,1015,false,false,10000,,,,
presidio-grass,Presidio - Bark,"<p>	      58% Polyester, 26% Olefin, 16% Acrylic</p><p>	      Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926782,Fabric By Yard,2.00,34.00,,1017Y,false,false,10000,,,,http://cdn.highwire.com/6665149-dscf3054.jpg
presidio-grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926781,Grade A w/ Furniture,0.00,0.00,,1017,false,false,10000,,,,
plain-weave-wheat-1,Presidio - Grass,"<p>	     58% Polyester, 26% Olefin, 16% Acrylic</p><p>	     Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926656,Fabric By Yard,2.00,34.00,,1016Y,false,false,10000,,,,http://cdn.highwire.com/6665038-dscf3053.jpg
plain-weave-wheat-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926655,Grade A w/ Furniture,0.00,0.00,,1016,false,false,10000,,,,
plain-weave-wheat,Plain Weave - Wheat,<p>	  100% Cotton</p><p>	  Grade A</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926596,Fabric By Yard,2.00,34.00,,1014Y,false,false,10000,,,,http://cdn.highwire.com/6664988-dscf3051.jpg
plain-weave-wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926595,Grade A w/ Furniture,0.00,0.00,,1014,false,false,10000,,,,
russett,Presidio - Russett,"<p>	         59% Polyester, 26% Olefin, 15% Acrylic</p><p>	         Grade A</p>","303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926533,Fabric By Yard,2.00,34.00,,1011Y,false,false,10000,,,,http://cdn.highwire.com/6664927-dscf3050.jpg
russett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926532,Grade A w/ Furniture,0.00,0.00,,1011,false,false,10000,,,,
cagney-blackpumpkin,Roswell - Cranberry,<p>	       100% Cotton</p><p>	       Grade A</p><p>	  14.5 x 14.5 Repeat</p>,"303137,",false,true,true,false,calculated,,,,,,,,,,,,,,,,,,,,,,,11926513,Fabric By Yard,2.00,34.00,,1010Y,false,false,10000,,,,http://cdn.highwire.com/6664910-dscf3048.jpg
cagney-blackpumpkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11926512,Grade A w/ Furniture,0.00,0.00,,1010,false,false,10000,,,,
